0,1,2,3,4
Rank,Name,Nation,Laps Down,Event Points
1,Albert Torres,{{ESP}},,40
2,Benjamin Thomas,{{FRA}},,38
3,Simone Consonni,{{ITA}},,36
4,Maximilian Beyer,{{GER}},,34
5,Szymon Sajnok,{{POL}},,32
6,Aaron Gate,{{NZL}},,30
7,Roy Eefting,{{NED}},,28
8,Sultanmurat Miraliyev,{{KAZ}},−1,26
9,Ivo Oliveira,{{POR}},−1,24
10,Sam Welsford,{{AUS}},−1,22
11,Casper Pedersen,{{DEN}},−1,20
12,Lindsay De Vylder,{{BEL}},−1,18
13,Shunsuke Imamura,{{JPN}},−1,16
14,Park Sang-hoon,{{KOR}},−1,14
15,Raman Tsishkou,{{BLR}},−1,12
16,Roman Gladysh,{{UKR}},−1,10
17,Gaël Suter,{{SUI}},−1,8
18,Leung Chun Wing,{{HKG}},−1,6
19,Viktor Manakov,{{RUS}},−1,4
20,Christopher Latham,{{GBR2}},−1,2
21,Edibaldo Maldonado,{{MEX}},−1,1
