0,1,2,3
Date,Home,Away,Score
November 12,Gimnàstic de Tarragona,UE Lleida,0-2
November 12,Recreativo de Huelva,Albacete Balompie,1-1
November 12,Hercules CF,SD Eibar,1-1
November 13,Malaga B,Real Murcia,2-0
November 13,Real Madrid Castilla,Elche CF,4-0
November 13,CD Castellon,Polideportivo Ejido,2-1
November 13,Xerez CD,Lorca Deportiva,3-0
November 13,CD Numancia,Levante UD,0-1
November 13,UD Almeria,Racing de Ferrol,2-1
November 13,CD Tenerife,Sporting de Gijón,1-3
November 13,Ciudad de Murcia,Real Valladolid,0-2
