0,1,2
Date,Guest,Promotion
March 9,Miguel Ferrer,LateLine
March 10,Timothy Dalton,
March 11,Jason Priestley,
March 12,Henry Thomas,Moby Dick
March 30,Al Franken,LateLine
June 3,David Boreanaz,Buffy the Vampire Slayer
June 25,Scott Thompson,
September 10,Terry Jones,Ancient Inventions series
September 14,Renee Hicks,
September 15,Dr. Ruth,
September 16,Ben Stiller,Permanent Midnight
September 17,Vince Vaughn,Clay Pigeons
September 21,Jackie Chan,Rush Hour
September 22,Bonnie Raitt,
September 23,Denis Leary,
September 24,Janeane Garofalo,Clay Pigeons
October 27,"David Cross
Bob Odenkirk",Mr. Show
November 2,Blair Underwood,
November 3,Upright Citizens Brigade,Upright Citizens Brigade
November 4,Queen Latifah,
November 5,Henry Winkler,The Waterboy
November 9,John Fugelsang,America's Funniest Home Videos
November 10,Travis Tritt,
November 11,Roma Downey,Touched by an Angel
November 16,Ken Olin,L.A. Doctors
November 17,Kate Mulgrew,Star Trek: Voyager
November 18,Shannen Doherty,Charmed
November 19,Jerry Springer,Ringmaster
December 14,Wendie Malick,Just Shoot Me!
December 15,Deborah Norville,
December 16,Jon Stewart,The Daily Show with Jon Stewart
December 17,Richard Lewis,
