0,1,2,3,4,5
1,{{flagIOC2team|CHN|2014 Asian Games}},27,17,6,50
2,{{flagIOC2team|KOR|2014 Asian Games}},8,11,8,27
3,{{flagIOC2team|KAZ|2014 Asian Games}},2,0,5,7
4,{{flagIOC2team|QAT|2014 Asian Games}},2,0,1,3
5,{{flagIOC2team|KUW|2014 Asian Games}},1,4,1,6
6,{{flagIOC2team|PRK|2014 Asian Games}},1,3,1,5
7,{{flagIOC2team|IRI|2014 Asian Games}},1,2,0,3
8,{{flagIOC2team|IND|2014 Asian Games}},1,1,7,9
9,{{flagIOC2team|MGL|2014 Asian Games}},1,0,2,3
10,{{flagIOC2team|VIE|2014 Asian Games}},0,2,5,7
11,{{flagIOC2team|MAS|2014 Asian Games}},0,2,1,3
12,{{flagIOC2team|JPN|2014 Asian Games}},0,1,1,2
13,{{flagIOC2team|TPE|2014 Asian Games}},0,1,0,1
14,{{flagIOC2team|THA|2014 Asian Games}},0,0,3,3
15,{{flagIOC2team|SIN|2014 Asian Games}},0,0,2,2
16,{{flagIOC2team|UAE|2014 Asian Games}},0,0,1,1
Total,Total,44,44,44,132
