0,1,2,3,4
Year,Location,Gold,Silver,Bronze
1998,Dombås,Gunn Margit Andreassen,Ann-Elen Skjelbreid,Gro Marit Istad
1999,Dombås,Åse Idland,Eli Merete Melheim,Liv Kjersti Eikeland
2000,Fet,Borghild Ouren,Liv Kjersti Eikeland,Gunn Margit Andreassen
2001,Meråker,Liv Grete Skjelbreid Poirée,Ann-Elen Skjelbreid,Gunn Margit Andreassen
2002,Hønefoss,Linda Tjørhom,Ann-Elen Skjelbreid,Gro Marit Istad Kristiansen
2003,Sirdal,Anne Ingstadbjørg,Gro Marit Istad Kristiansen,Borghild Ouren
2004,Folldal,Linda Tjørhom,Liv Kjersti Eikeland,Tora Berger
2005,Fet,Tora Berger,Gro Marit Istad Kristiansen,Liv Grete Skjelbreid Poirée
2006,Birkenes,Linda Grubben,Liv Kjersti Eikeland,Tora Berger
2007,Geilo,Solveig Rogstad,Tora Berger,Ann Kristin Flatland
2008,Natrudstilen,Tora Berger,Liv Kjersti Eikeland,Julie Bonnevie-Svendsen
2009,Vik,Tora Berger,Ann Kristin Flatland,Liv Kjersti Eikeland
2010,Sirdal,Tora Berger,Ann Kristin Flatland,Fanny Welle-Strand Horn
2011,Meråker,Tora Berger,Synnøve Solemdal,Fanny Welle-Strand Horn
2012,Oslo Holmenkollen,Tora Berger,Jori Mørkve,Tiril Eckhoff
2013,Mo i Rana,Fanny Welle-Strand Horn,Tiril Eckhoff,Tora Berger
2014,Steinkjer,Fanny Welle-Strand Horn,Tiril Eckhoff,Kaia Wøien Nicolaisen
2015,Os,Fanny Welle-Strand Horn,Tiril Eckhoff,Sigrid Bilstad Neraasen
