0,1,2,3
Team,Year,Cork IHC,Cork IHC
Team,Year,Apps,Score
Cloyne,1994,2,0-10
Cloyne,1995,2,1-05
Cloyne,1996,5,0-00
Cloyne,1997,4,0-00
Cloyne,Total,13,1-15
Cloyne,Year,Cork SHC,Cork SHC
Cloyne,Year,Apps,Score
Cloyne,1998,2,0-00
Cloyne,1999,1,0-00
Cloyne,2000,5,0-00
Cloyne,2001,2,0-00
Cloyne,2002,3,0-00
Cloyne,2003,5,0-00
Cloyne,2004,5,0-00
Cloyne,2005,5,0-00
Cloyne,2006,5,0-00
Cloyne,2007,2,0-07
Cloyne,2008,4,0-06
Cloyne,2009,3,0-00
Cloyne,2010,4,0-00
Cloyne,2011,6,0-00
Cloyne,2012,—,—
Cloyne,Total,52,0-13
Cloyne,Year,Cork PIHC,Cork PIHC
Cloyne,Year,Apps,Score
Cloyne,2013,5,0-00
Cloyne,2014,4,0-00
Cloyne,2015,4,0-00
Cloyne,2016,—,—
Cloyne,2017,4,0-00
Cloyne,2018,3,0-00
Cloyne,Total,20,0-00
Career total,Career total,85,1-28
