0,1,2,3,4,5
Designation,Designation,Discovery,Discovery,Discoverer(s),Ref
Permanent,Provisional,Date,Site,Discoverer(s),Ref
1701 Okavango,1953 NJ,"July 6, 1953",Johannesburg,J. Churms,{{MPCdb|1701}}
1702 Kalahari,A924 NC,"July 7, 1924",Johannesburg,E. Hertzsprung,{{MPCdb|1702}}
1703 Barry,1930 RB,"September 2, 1930",Heidelberg,M. F. Wolf,{{MPCdb|1703}}
1704 Wachmann,A924 EE,"March 7, 1924",Heidelberg,K. Reinmuth,{{MPCdb|1704}}
1705 Tapio,{{mp|1941 SL|1}},"September 26, 1941",Turku,L. Oterma,{{MPCdb|1705}}
1706 Dieckvoss,1931 TS,"October 5, 1931",Heidelberg,K. Reinmuth,{{MPCdb|1706}}
1707 Chantal,1932 RL,"September 8, 1932",Uccle,E. Delporte,{{MPCdb|1707}}
1708 Pólit,1929 XA,"December 1, 1929",Barcelona,J. Comas Solà,{{MPCdb|1708}}
1709 Ukraina,1925 QA,"August 16, 1925",Crimea-Simeis,G. Shajn,{{MPCdb|1709}}
1710 Gothard,1941 UF,"October 20, 1941",Konkoly,G. Kulin,{{MPCdb|1710}}
1711 Sandrine,1935 BB,"January 29, 1935",Uccle,E. Delporte,{{MPCdb|1711}}
1712 Angola,1935 KC,"May 28, 1935",Johannesburg,C. Jackson,{{MPCdb|1712}}
1713 Bancilhon,1951 SC,"September 27, 1951",Algiers,L. Boyer,{{MPCdb|1713}}
1714 Sy,1951 OA,"July 25, 1951",Algiers,L. Boyer,{{MPCdb|1714}}
1715 Salli,1938 GK,"April 9, 1938",Turku,H. Alikoski,{{MPCdb|1715}}
1716 Peter,1934 GF,"April 4, 1935",Heidelberg,K. Reinmuth,{{MPCdb|1716}}
1717 Arlon,1954 AC,"January 8, 1954",Uccle,S. J. Arend,{{MPCdb|1717}}
1718 Namibia,1942 RX,"September 14, 1942",Turku,M. Väisälä,{{MPCdb|1718}}
1719 Jens,1950 DP,"February 17, 1950",Heidelberg,K. Reinmuth,{{MPCdb|1719}}
1720 Niels,1935 CQ,"February 7, 1935",Heidelberg,K. Reinmuth,{{MPCdb|1720}}
1721 Wells,{{mp|1953 TD|3}},"October 3, 1953",Brooklyn,Indiana University,{{MPCdb|1721}}
1722 Goffin,1938 EG,"February 23, 1938",Uccle,E. Delporte,{{MPCdb|1722}}
1723 Klemola,1936 FX,"March 18, 1936",Turku,Y. Väisälä,{{MPCdb|1723}}
1724 Vladimir,1932 DC,"February 28, 1932",Uccle,E. Delporte,{{MPCdb|1724}}
1725 CrAO,1930 SK,"September 20, 1930",Crimea-Simeis,G. N. Neujmin,{{MPCdb|1725}}
1726 Hoffmeister,1933 OE,"July 24, 1933",Heidelberg,K. Reinmuth,{{MPCdb|1726}}
1727 Mette,1965 BA,"January 25, 1965",Bloemfontein,A. D. Andrews,{{MPCdb|1727}}
1728 Goethe Link,1964 TO,"October 12, 1964",Brooklyn,Indiana University,{{MPCdb|1728}}
1729 Beryl,1963 SL,"September 19, 1963",Brooklyn,Indiana University,{{MPCdb|1729}}
1730 Marceline,1936 UA,"October 17, 1936",Nice,M. Laugier,{{MPCdb|1730}}
1731 Smuts,1948 PH,"August 9, 1948",Johannesburg,E. L. Johnson,{{MPCdb|1731}}
1732 Heike,1943 EY,"March 9, 1943",Heidelberg,K. Reinmuth,{{MPCdb|1732}}
1733 Silke,{{mp|1938 DL|1}},"February 19, 1938",Heidelberg,A. Bohrmann,{{MPCdb|1733}}
1734 Zhongolovich,1928 TJ,"October 11, 1928",Crimea-Simeis,G. N. Neujmin,{{MPCdb|1734}}
1735 ITA,{{mp|1948 RJ|1}},"September 10, 1948",Crimea-Simeis,P. F. Shajn,{{MPCdb|1735}}
1736 Floirac,1967 RA,"September 6, 1967",Bordeaux,G. Soulié,{{MPCdb|1736}}
1737 Severny,1966 TJ,"October 13, 1966",Nauchnij,L. I. Chernykh,{{MPCdb|1737}}
1738 Oosterhoff,1930 SP,"September 16, 1930",Johannesburg,H. van Gent,{{MPCdb|1738}}
1739 Meyermann,1939 PF,"August 15, 1939",Heidelberg,K. Reinmuth,{{MPCdb|1739}}
1740 Paavo Nurmi,1939 UA,"October 18, 1939",Turku,Y. Väisälä,{{MPCdb|1740}}
1741 Giclas,1960 BC,"January 26, 1960",Brooklyn,Indiana University,{{MPCdb|1741}}
1742 Schaifers,1934 RO,"September 7, 1934",Heidelberg,K. Reinmuth,{{MPCdb|1742}}
1743 Schmidt,4109 P-L,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",{{MPCdb|1743}}
1744 Harriet,6557 P-L,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",{{MPCdb|1744}}
1745 Ferguson,{{mp|1941 SY|1}},"September 17, 1941",Washington,J. E. Willis,{{MPCdb|1745}}
1746 Brouwer,1963 RF,"September 14, 1963",Brooklyn,Indiana University,{{MPCdb|1746}}
1747 Wright,1947 NH,"July 14, 1947",Mount Hamilton,C. A. Wirtanen,{{MPCdb|1747}}
1748 Mauderli,1966 RA,"September 7, 1966",Zimmerwald,P. Wild,{{MPCdb|1748}}
1749 Telamon,1949 SB,"September 23, 1949",Heidelberg,K. Reinmuth,{{MPCdb|1749}}
1750 Eckert,{{mp|1950 NA|1}},"July 15, 1950",Heidelberg,K. Reinmuth,{{MPCdb|1750}}
1751 Herget,1955 OC,"July 27, 1955",Brooklyn,Indiana University,{{MPCdb|1751}}
1752 van Herk,1930 OK,"July 22, 1930",Johannesburg,H. van Gent,{{MPCdb|1752}}
1753 Mieke,1934 JM,"May 10, 1934",Johannesburg,H. van Gent,{{MPCdb|1753}}
1754 Cunningham,1935 FE,"March 29, 1935",Uccle,E. Delporte,{{MPCdb|1754}}
1755 Lorbach,1936 VD,"November 8, 1936",Nice,M. Laugier,{{MPCdb|1755}}
1756 Giacobini,1937 YA,"December 24, 1937",Nice,A. Patry,{{MPCdb|1756}}
1757 Porvoo,1939 FC,"March 17, 1939",Turku,Y. Väisälä,{{MPCdb|1757}}
1758 Naantali,1942 DK,"February 18, 1942",Turku,L. Oterma,{{MPCdb|1758}}
1759 Kienle,1942 RF,"September 11, 1942",Heidelberg,K. Reinmuth,{{MPCdb|1759}}
1760 Sandra,1950 GB,"April 10, 1950",Johannesburg,E. L. Johnson,{{MPCdb|1760}}
1761 Edmondson,1952 FN,"March 30, 1952",Brooklyn,Indiana University,{{MPCdb|1761}}
1762 Russell,1953 TZ,"October 8, 1953",Brooklyn,Indiana University,{{MPCdb|1762}}
1763 Williams,{{mp|1953 TN|2}},"October 13, 1953",Brooklyn,Indiana University,{{MPCdb|1763}}
1764 Cogshall,{{mp|1953 VM|1}},"November 7, 1953",Brooklyn,Indiana University,{{MPCdb|1764}}
1765 Wrubel,1957 XB,"December 15, 1957",Brooklyn,Indiana University,{{MPCdb|1765}}
1766 Slipher,1962 RF,"September 7, 1962",Brooklyn,Indiana University,{{MPCdb|1766}}
1767 Lampland,1962 RJ,"September 7, 1962",Brooklyn,Indiana University,{{MPCdb|1767}}
1768 Appenzella,1965 SA,"September 23, 1965",Zimmerwald,P. Wild,{{MPCdb|1768}}
1769 Carlostorres,1966 QP,"August 25, 1966",Córdoba,Z. Pereyra,{{MPCdb|1769}}
1770 Schlesinger,1967 JR,"May 10, 1967",El Leoncito,"C. U. Cesco, A. R. Klemola",{{MPCdb|1770}}
1771 Makover,1968 BD,"January 24, 1968",Nauchnij,L. I. Chernykh,{{MPCdb|1771}}
1772 Gagarin,1968 CB,"February 6, 1968",Nauchnij,L. I. Chernykh,{{MPCdb|1772}}
1773 Rumpelstilz,1968 HE,"April 17, 1968",Zimmerwald,P. Wild,{{MPCdb|1773}}
1774 Kulikov,{{mp|1968 UG|1}},"October 22, 1968",Nauchnij,T. M. Smirnova,{{MPCdb|1774}}
1775 Zimmerwald,1969 JA,"May 13, 1969",Zimmerwald,P. Wild,{{MPCdb|1775}}
1776 Kuiper,2520 P-L,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",{{MPCdb|1776}}
1777 Gehrels,4007 P-L,"September 24, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",{{MPCdb|1777}}
1778 Alfvén,4506 P-L,"September 26, 1960",Palomar,"C. J. van Houten, I. van Houten-Groeneveld, T. Gehrels",{{MPCdb|1778}}
1779 Paraná,1950 LZ,"June 15, 1950",La Plata Observatory,M. Itzigsohn,{{MPCdb|1779}}
1780 Kippes,A906 RA,"September 12, 1906",Heidelberg,A. Kopff,{{MPCdb|1780}}
1781 Van Biesbroeck,A906 UB,"October 17, 1906",Heidelberg,A. Kopff,{{MPCdb|1781}}
