0,1,2,3,4
Year,Location,Gold,Silver,Bronze
1998,Dombås,Gunn Margit Andreassen,Ann-Elen Skjelbreid,Liv Kjersti Eikeland
1999,Dombås,Eli Merete Melheim,Åse Idland,Guro Harstad
2000,Fet,Borghild Ouren,Gunn Margit Andreassen,Berit Nordstad
2002,Hønefoss,Linda Tjørhom,Gro Marit Istad Kristiansen,Gunn Margit Andreassen
2003,Sirdal,Gro Marit Istad Kristiansen,Linda Tjørhom,Borghild Ouren
2004,Folldal,Liv Kjersti Eikeland,Tora Berger,Linda Tjørhom
2005,Fet,Julie Bonnevie-Svendsen,Gro Marit Istad Kristiansen,Liv Grete Skjelbreid Poirée
2006,Birkenes,Linda Grubben,Liv Kjersti Eikeland,Tora Berger
2007,Geilo,Solveig Rogstad,Julie Bonnevie-Svendsen,Gunn Margit Andreassen
2008,Natrudstilen,Tora Berger,Julie Bonnevie-Svendsen,Liv Kjersti Eikeland
2009,Vik,Tora Berger,Ann Kristin Flatland,Liv Kjersti Eikeland
2010,Sirdal,Tora Berger,Fanny Welle-Strand Horn,Ann Kristin Flatland
2011,Meråker,Tora Berger,Fanny Welle-Strand Horn,Synnøve Solemdal
2012,Oslo Holmenkollen,Tora Berger,Tiril Eckhoff,Fanny Welle-Strand Horn
2013,Mo i Rana,Tora Berger,Tiril Eckhoff,Fanny Welle-Strand Horn
2014,Steinkjer,Tiril Eckhoff,Fanny Welle-Strand Horn,Synnøve Solemdal
2015,Os,Fanny Welle-Strand Horn,Tiril Eckhoff,Synnøve Solemdal
