0,1,2,3
Number,Title,Author,Date/Year released
# 148,Wagon Train Westward,Lynn Westland,1952
# 149,Remembering Laughter,Wallace Stegner,1952
# 150,Paprika,Erich von Stroheim,1952
# 151,The Great I Am,Lewis Graham,1952
# 152,Great Oaks,Ben Ames Williams,1952
# 153,Outlaw Valley,Al Cody,1952
# 154,Rasputin And Crimes That Shook The World,Richard Hirsch,1952
# 155,Canyon Of The Damned,Tex Holt,1952
# 156,Blood Of The North,James B. Hendryx,1952
# 157,The Bizarre Sisters,Jay & Audrey Walz,1952
# 158,Yucca City Outlaw,William Hopson,1952
# 159,The Smiling Tiger,Lenore Glen Offord,1952
# 160,Twelve Chinks And A Woman,James Hadley Chase,1952
# 161,"Health, Sex And Birth Control",Dr. Percy E. Ryberg,1952
# 162,The River's End,James Oliver Curwood,1952
