0,1,2,3,4
Place,Country,Games,Wins,Losses
{{Gold1}},{{SWE}},11,11,0
{{Silver2}},{{CAN}},11,9,2
{{Bronze3}},{{SUI}},11,7,4
4,{{SCO}},12,6,6
5,{{NOR}},10,5,5
6,{{USA}},9,4,5
7,{{GER}},9,3,6
8,{{ITA}},9,3,6
9,{{FRA}},10,2,8
10,{{DEN}},10,1,9
