0,1,2,3,4,5,6,7
n,Least EPSP,n,Least EPSP,n,Least EPSP,n,Least EPSP
1,9,33,545,65,33,97,21
2,341,34,21,66,65,98,9
3,121,35,9,67,33,99,25
4,341,36,35,68,25,100,9
5,217,37,9,69,85,101,25
6,185,38,65,70,69,102,133
7,25,39,133,71,9,103,51
8,9,40,39,72,305,104,21
9,91,41,21,73,9,105,481
10,9,42,451,74,25,106,15
11,133,43,21,75,133,107,9
12,65,44,9,76,15,108,341
13,21,45,133,77,57,109,9
14,65,46,9,78,77,110,289
15,341,47,65,79,39,111,55
16,15,48,49,80,9,112,65
17,9,49,25,81,91,113,21
18,25,50,21,82,9,114,565
19,9,51,25,83,21,115,57
20,21,52,51,84,85,116,9
21,65,53,9,85,21,117,49
22,21,54,265,86,65,118,9
23,33,55,9,87,133,119,177
24,25,56,33,88,87,120,77
25,217,57,25,89,9,121,15
26,9,58,57,90,793,122,33
27,65,59,145,91,9,123,217
28,9,60,341,92,21,124,25
29,21,61,15,93,25,125,9
30,49,62,9,94,57,126,25
31,15,63,341,95,141,127,9
32,25,64,9,96,65,128,49
