0,1,2,3,4,5,6,7
Rank,Name,Nation,Points In Race,Finish Order,Event Points,Overall Rank,Subtotal
1,Aaron Gate,{{NZL}},43,19,40,2,70
2,Albert Torres,{{ESP}},40,11,38,1,78
3,Szymon Sajnok,{{POL}},25,2,36,4,68
4,Casper Pedersen,{{DEN}},25,18,34,8,54
5,Roy Eefting,{{NED}},24,21,32,6,60
6,Benjamin Thomas,{{FRA}},23,20,30,3,68
7,Maximilian Beyer,{{GER}},22,1,28,5,62
8,Gaël Suter,{{SUI}},22,4,26,13,34
9,Sam Welsford,{{AUS}},22,12,24,9,46
10,Lindsay De Vylder,{{BEL}},21,3,22,11,40
11,Viktor Manakov,{{RUS}},21,5,20,15,24
12,Simone Consonni,{{ITA}},21,10,18,7,54
13,Ivo Oliveira,{{POR}},21,15,16,10,40
14,Leung Chun Wing,{{HKG}},21,16,14,17,20
15,Park Sang-hoon,{{KOR}},3,17,12,14,26
16,Sultanmurat Miraliyev,{{KAZ}},2,6,10,12,36
17,Raman Tsishkou,{{BLR}},0,7,8,16,20
18,Edibaldo Maldonado,{{MEX}},0,8,6,20,7
19,Roman Gladysh,{{UKR}},0,9,4,19,14
20,Christopher Latham,{{GBR2}},0,13,2,21,4
21,Shunsuke Imamura,{{JPN}},0,14,1,18,17
