0,1,2
Name,"Provisional
Designation",Source of Name
1701 Okavango,1953 NJ,*
1702 Kalahari,A924 NC,Kalahari Desert
1703 Barry,1930 RB,*
1704 Wachmann,A924 EE,"Arno Arthur Wachmann, astronomer"
1705 Tapio,1941 SL1,*
1706 Dieckvoss,1931 TS,*
1707 Chantal,1932 RL,*
1708 Pólit,1929 XA,*
1709 Ukraina,1925 QA,Ukraine
1710 Gothard,1941 UF,*
1711 Sandrine,1935 BB,*
1712 Angola,1935 KC,Angola
1713 Bancilhon,1951 SC,*
1714 Sy,1951 OA,"Frédéric Sy, astronomer"
1715 Salli,1938 GK,*
1716 Peter,1934 GF,*
1717 Arlon,1954 AC,*
1718 Namibia,1942 RX,Namibia
1719 Jens,1950 DP,*
1720 Niels,1935 CQ,*
1721 Wells,1953 TD3,*
1722 Goffin,1938 EG,*
1723 Klemola,1936 FX,*
1724 Vladimir,1932 DC,*
1725 CrAO,1930 SK,*
1726 Hoffmeister,1933 OE,"Cuno Hoffmeister, astronomer"
1727 Mette,1965 BA,*
1728 Goethe Link,1964 TO,Goethe Link Observatory
1729 Beryl,1963 SL,*
1730 Marceline,1936 UA,*
1731 Smuts,1948 PH,*
1732 Heike,1943 EY,*
1733 Silke,1938 DL1,*
1734 Zhongolovich,1928 TJ,*
1735 ITA,1948 RJ1,*
1736 Floirac,1967 RA,*
1737 Severny,1966 TJ,*
1738 Oosterhoff,1930 SP,*
1739 Meyermann,1939 PF,*
1740 Paavo Nurmi,1939 UA,*
1741 Giclas,1960 BC,*
1742 Schaifers,1934 RO,*
1743 Schmidt,4109 P-L,*
1744 Harriet,6557 P-L,*
1745 Ferguson,1941 SY1,"James Ferguson, astronomer"
1746 Brouwer,1963 RF,*
1747 Wright,1947 NH,*
1748 Mauderli,1966 RA,*
1749 Telamon,1949 SB,*
1750 Eckert,1950 NA1,*
1751 Herget,1955 OC,*
1752 van Herk,1930 OK,*
1753 Mieke,1934 JM,*
1754 Cunningham,1935 FE,*
1755 Lorbach,1936 VD,*
1756 Giacobini,1937 YA,"Michel Giacobini, astronomer"
1757 Porvoo,1939 FC,*
1758 Naantali,1942 DK,*
1759 Kienle,1942 RF,*
1760 Sandra,1950 GB,*
1761 Edmondson,1952 FN,*
1762 Russell,1953 TZ,*
1763 Williams,1953 TN2,*
1764 Cogshall,1953 VM1,*
1765 Wrubel,1957 XB,*
1766 Slipher,1962 RF,*
1767 Lampland,1962 RJ,*
1768 Appenzella,1965 SA,*
1769 Carlostorres,1966 QP,*
1770 Schlesinger,1967 JR,*
1771 Makover,1968 BD,*
1772 Gagarin,1968 CB,"Yuri Gagarin, cosmonaut"
1773 Rumpelstilz,1968 HE,*
1774 Kulikov,1968 UG1,*
1775 Zimmerwald,1969 JA,*
1776 Kuiper,2520 P-L,"Gerard Kuiper, astronomer"
1777 Gehrels,4007 P-L,"Tom Gehrels, astronomer"
1778 Alfvén,4506 P-L,*
1779 Paraná,1950 LZ,*
1780 Kippes,A906 RA,*
1781 Van Biesbroeck,A906 UB,*
1782 Schneller,1931 TL1,*
1783 Albitskij,1935 FJ,*
1784 Benguella,1935 MG,*
1785 Wurm,1941 CD,*
1786 Raahe,1948 TL,*
1787 Chiny,1950 SK,*
1788 Kiess,1952 OZ,*
1789 Dobrovolsky,1966 QC,*
1790 Volkov,1967 ER,*
1791 Patsayev,1967 RE,*
1792 Reni,1968 BG,*
1793 Zoya,1968 DW,*
1794 Finsen,1970 GA,*
1795 Woltjer,4010 P-L,*
1796 Riga,1966 KB,"Riga, Latvia*"
1797 Schaumasse,1936 VH,*
1798 Watts,1949 GC,*
1799 Koussevitzky,1950 OE,*
1800 Aguilar,1950 RJ,*
