0,1,2,3
DLSE,2-0,CSAL,1-0
AUDI,4-1,PALE,1-2
DIQU,1-0,CLOA,0-2
UCON,2-1,HUAC,3-1
DCOP,1-0,COQU,2-1
RANG,0-1,CURI,1-2
SWAN,3-1,UCAL,1-0
MEJI,1-0,SMAR,2-1
LPIN,0-3,UESP,7-0
DTEM,0-0,UTEM,3-0
QKUM,0-1,DPMO,3-1
SMOR,1-0,USFE,1-1
UCAT,2-0,NAVA,0-2
DCON,1-2,ÑUBL,0-2
EVER,1-1,SLUI,1-1
UCHI,0-2,MAGA,1-1
OHIG,2-2,ENFO,0-3
LSCH,2-1,COLO,4-1
