0,1,2
Season,Leading Goalkicker,Goals
1897,R Stewart & B Ahern,6
1898,A Stewart,23
1899,A Stewart,16
1900,G Sutherland,13
1901,C Stanford,9
1902,Charlie Baker,30
1903,Charlie Baker,22
1904,Charlie Baker,30
1905,Chrlie Baker,19
1906,Dave McNamara,23
1907,Dave McNamara & J Stewart,21
1908,J Stewart,28
1909,V A E Barwick,16
1910,A Thomas,15
1911,E Sellars,22
1912,E Sellars,44
1913,E Sellars,53
1914,Dave McNamara,48
1915,Harold Moyes,32
1916,Dave McNamara & L Boyd,17
1919,Jack James,12
1920,Jack James,13
1921,Harold Moyes,32
1922,Harold Moyes,23
1923,Harold Moyes,29
1924,Jack James,28
1925,John Shelton,42
1926,John Shelton,47
1927,John Shelton,24
1928,B Smedley,50
1929,Bill Mohr,38
1930,Bill Mohr,83
1931,Bill Mohr,57
1932,Bill Mohr,68
1933,Bill Mohr,74
1934,Bill Mohr,66
1935,Bill Mohr,83
1936,Bill Mohr,101
1937,Bill Mohr,58
1938,Bill Mohr,34
1939,Bill Mohr,47
1940,Bill Mohr,25
1941,Bob Flegg,47
1942,F Kelly,21
1943,J Connelly,27
1944,Sam Loxton,n/a
1945,S Snell & J Hall,21
1946,Sam Loxton,40
1947,Peter Bennett,37
1948,Peter Bennett,32
1949,Jack McDonald,33
1950,Peter Bennett,59
1951,Peter Bennett,47
1952,Jack McDonald,31
1953,Peter Bennett,36
1954,Jim A. Ross,34
1955,Jack McDonald,24
1956,Bill Young,56
1957,Bill Young,56
1958,Bill Young,56
1959,Bill Young,45
1960,Bill Young,37
1961,Ian Rowalnd,26
1962,Darrel Baldock,33
1963,Darrel Baldock,36
1964,Darrel Baldock,29
1965,Darrel Baldock,44
1966,Kevin Neale,55
1967,Kevin Neale,37
1968,Kevin Neale,32
1969,Kevin Neale,50
1970,Barry Breen,35
1971,Allan Davis,70
1972,J Stephens,53
1973,Allan Davis,49
1974,Bruce Duperouzel,28
1975,George Young,53
1976,George Young,52
1977,George Young,58
1978,George Young,70
1979,Garry Sidebottom,56
1980,Mark Scott,48
1981,Con Gorozidis,34
1982,Mark Scott,45
1983,Mark Jackson,41
1984,Tony Lockett,77
1985,Tony Lockett,79
1986,Tony Lockett,60
1987,Tony Lockett,117
1988,Nicky Winmar,43
1989,Tony Lockett,78
1990,Tony Lockett,65
1991,Tony Lockett,127
1992,Tony Lockett,132
1993,Tony Lockett,53
1994,Tony Lockett,56
1995,Stewart Loewe,76
1996,Stewart Loewe,90
1997,Jason Heatley,73
1998,Jason Heatley,48
1999,Barry Hall,41
2000,Peter Everitt,40
2001,Barry Hall,44
2002,Stephen Milne,50
2003,Fraser Gehrig,55
2004,Fraser Gehrig,103
2005,Fraser Gehrig,78
2006,Fraser Gehrig,71
2007,Fraser Gehrig,59
2008,Nick Riewoldt,65
2009,Nick Riewoldt,68
