0,1,2,3
Season,Division,Place,Notes
2001-02,A1 Ethniki,5th,Finalist Greek Cup
2002-03,A1 Ethniki,4th,Finalist Greek Cup
2003-04,A1 Ethniki,3rd,
2004-05,A1 Ethniki,7th,
2005-06,A1 Ethniki,10th,
2006-07,A1 Ethniki,11th,
2007-08,A1 Ethniki,9th,
2008-09,A1 Ethniki,11th,Relegated to A2
2009-10,A2 Ethniki,1st,Promoted to A1
2010-11,A1 Ethniki,11th,Relegated to A2
2011-12,A2 Ethniki,5th,
2012-13,A2 Ethniki,5th,
2013-14,A2 Ethniki,3rd,
