0,1,2,3,4
Draw,Artist,Song,Points,Place
1,"Marco, Daria and Mattia Zappa","""La nave va""",22,5th
2,Christine Nachbauer,"""Segel im Wind""",13,8th
3,Claude Lander,"""Laissez-le vivre""",11,9th
4,R.C.O.,"""Ruhelos""",20,6th
5,Daniela Simons,"""Come finira""",38,2nd
6,Suisse Home,"""Home suisse Home""",15,7th
7,Sandra Simó,"""Canzone per te""",50,1st
8,Chris Lorens,"""Ein ganzes Leben lang""",34,3rd
9,Carol Rich,"""Donner la main""",27,4th
