0,1,2,3,4
Date,Home,Away,Score,Broadcasting
January 7,Athletic de Bilbao,Deportivo de La Coruña,1-2,Pay per view
January 7,RCD Espanyol,FC Barcelona,1-2,National TV
January 8,CA Osasuna,Racing de Santander,1-1,Pay per view
January 8,Sevilla FC,Málaga CF,3-1,Pay per view
January 8,Cádiz CF,Getafe CF,1-0,Pay per view
January 8,Celta de Vigo,Real Sociedad,1-0,Pay per view
January 8,Deportivo Alaves,Real Zaragoza,0-2,Pay per view
January 8,RCD Mallorca,Real Betis,1-1,Pay per view
January 8,Villarreal CF,Real Madrid,0-0,Pay per view
January 8,Atlético Madrid,Valencia CF,0-0,Canal Plus
