0,1,2
2006,"Caerphilly (G. Jones, I. Henderson, M. Wyatt, M. Selway)","Saundersfoot (P. Carpenter, J. Baggott, P. Diment, J. Roberts)"
2007,"Ammanford Pk (W. Owen, K. Peregrine, G. Thomas, A. Howells)","Dinas Powis (H. Meddins, M. Ackland, A. Meddins, Jason Greenslade)"
2008,"Machynlleth (D. Rowlands, M. Gaskell, B. Fleming, A. Fleming)","Aberavon (J. Thomas, H. Price, J. Price, G. Davies)"
2009,"Bridgend (C. Stephens, D. McCormick, D. Parkhouse, P. Taylor)","Cross Keys (S. Bushell, N. Bushell, A. Bushell, I. Slade)"
2010,"Presteigne (B. Weale, S. Weale, D. Weale, Robert Weale)","Barry Athletic (L. Stanley, B. Parish, C. Wright, C. Blake)"
2011,"Presteigne (B. Weale, S. Weale, D. Weale, Robert Weale)","Beaufort (J. Mower, N. Carter, C. Williams, D O'Callaghan)"
2012,"Pontrhydyfen (B. Thomas, L. Daniels, Dai Wilkins, J. Wilkins)","Tenby (L. Guymer, P. Day, C. Guymer, P. Diment)"
2013,"Pontrhydyfen (B. Thomas, L. Daniels, Dai Wilkins, J. Wilkins)","Barry Athletic (L. Peters, K. Harris, R. Horgan, C. Blake)"
2014,"Graig Merthyr (B. Matthews, L Walker, S. Thomas, W. Matthews)","RTB Ebbw Vale (R. Underwood, L. Thomas, O. Dando, J. Tomlinson)"
2015,"RTB Ebbw Vale (S. Toms, R. Silcox, R. Price, S. Batten)","Old Landorians (A. Givelin, T. King, J. Glover, A. Jones)"
2016,"Presteigne (B Weale, S Weale, D Weale, R Weale)","Carmarthen (J Morgans, Harries, P Williams, C Davies)"
2017,"Harlequins (J. Davies, Phil Carpenter, Jarrad Breen, Ross Owen)","Penylan (R. Jackson, M. Hart, D. Doubler, D. Salmon)"
2018,"Beaufort (Daniel Davies, Roger Jones, Daniel Davies Jr., Chris Klefenz)","Merthyr West End (Lee Morgan, Nicky Minett, Nathan Scoot, Phil Westcott)"
