0,1,2
Year,Champion,Runner-Up
1919,"Windsor (H.G. Hill, A.E. Evans, F.W. Alty, A H. Emery)","Swansea (J. Merriman, E. Williams, H. Williams, D.A. Sutherland)"
1920,"Dinas Powys (W.H. Thomas, G.W. Smith, I.B. Thomas, R. Graham)","Grange (F. O'Leary, F. Lempiere, P. Driscoll, J.P. Williams)"
1921,"Penarth (A.T. Evans, H. Snell, T. Taylor, J. Rees)","Newport Athletic (T.W. Francis, T. Harrington, J. Monk, C.L. Perry)"
1922,"Newport Athletic (H.M. Chapman, J. Whitehouse, W. Luke, G.A. Bullock)","Swansea (J. Merriman, J.E. Williams, R. McKelvie, H. Williams)"
1923,"Victoria Park (J. Pratt, T. Bowker, J. Morgan, W. Whitlock)","Dinas Powys (D.L. Wilkinson, E.J.S. Hole, I.B. Thomas, T.P. Thomas)"
1924,"Cardiff Athletic (W.H. Jenkins, W. David, M. Wood, J. Batstone)","Belle Vue (T. Powell, W. Soper, H.R. Trace, E. Bush)"
1925,"Swansea (J. Merriman, H. Williams, S. Weaver, D.J. Squires)","Cardiff Athletic (J. Pratt, W. David, M. Wood, J. Batstone)"
1926,"Penylan (J. McGill, J. Duthie, T. Evans, L. Jones)","Belle Vue (T. Powell, W. Sergeant, R. Waterman, W.H. Green)"
1927,"Swansea (T.R. Davies, J. Merriman, S. Weaver, F. Taylor)","Cardiff (P. Lempiere, G.G. Spray, P. Sneddon, J.P. Williams)"
1928,"Pantygwydr (J. Davies, E. Holdsworth, D. Parry, E. Hill)","Windsor (E. Parry, S. Shepherd, A.E. Fides, G.A. Chambers)"
1929,"Windsor (D.J. Williams, P.E. Cadle, E. Parry, G.A. Chambers)","Mackintosh (S.F. Wide, W. Edwards, A. Mackenzie, S.H. Travers)"
1930,"Roath Park (J. Thomas, G. Bishop, G. Whyte, C.C. Johnson)","Pantygwydr (T. Toms, A.W. Phillips, S. Howell, D.J. Squires)"
1931,"Pantygwydr (T. Toms, T. Howell, F. Reed, E. Hill)","Splott (C. Conway, R. James, J. Payne, J. Williams)"
1932,"Barry Central (W. Abbott, G.E. Martin, E. Jones, E. Thompson)","Dowlais (J.B. Jones, S.J. Hoskins, W.J. Bowen, J. Llewellyn)"
1933,"Swansea (Thomas Davies, H. Williams, W. Mitchell, Stan Weaver)","Aberbargoed (J. Evans, H. Roper, E. Mason, W. Walters)"
1934,"Wattstown (R. Williams, W.G. Kemp, M. Manweller, I. Rees)","Penhill (J.W. Millington, A.J. Jones, W.G. Thomas, A. Brown)"
1935,"Grange (J. Maplestone, P. Lempiere, W. Davies, J. Maile)","Belle Vue, Newport (I.T. Coakham, W. Powell, I. Johns, T.D. Trowbridge)"
1936,"Trelyn Park (W.H. Harris, T.S. Foster, A. Jones, J. Fine)","Barry Romilly (A. Eamor, H.J. Roberts, A.H. Lawrence, T. McG. Hole)"
1937,"Port Talbot Municipal (J.A. Griffiths, J. Miles, J.B. Davies, L. Hill)","Abertridwr (J. Llewellyn, R. Evans, R. Jenkins, G. Davies)"
1938,"Dinam Park (E. Lewis, E. Evans, I.T. Jones, W.D. Jones)","Oakdale (W.J. Jones, T. Lewis, R. Briggs, C. Weager)"
1939,"Port Talbot Municipal (J.A. Griffiths, J. Miles, J.B. Davies, L. Hill)","Trelyn Park (W.H. Harris, T. Foster, A. Jones, F. Fine)"
1940,"Abertridwr (G. Davies, H. Hughes, L. Jones, J. Phillips)","Ystrad Mynach (D. Hazzelby, T. Owen, R. Jones, W. Meyrick)"
1941,"Port Talbot Municipal (J.A. Griffiths, A. Jenkins, T.W. Jones, L. Hill)","Bridgend (H. Cook, W. Ray, T. Thomas, E.W. Davies)"
1942,"Abertillery (J. Milman, C. Toomer, S. Day, E. Jones)","Llanelli (D. Hugh, B. Jones, J. Parry, W. Phillips)"
1943,"Rhymney Royal (A. Jones, I. Thomas, Sgt. J. Probert, B.A. Jones)","Sketty (G. Williams, G. Hogg, A. Delve, D.T. Williams)"
1944,"Pontrhydyfen (V. Thomas, D.H. Griffiths, G. Rees, D. Prosser)","Rhymney Gwent (J. Saunders, B. Richards, E. Evans, W. John)"
1945,"Abertillery (R. Cornwall, C. Toomer, S. Day, E. Jones)","Tonypandy (R. Williams, W. Williams, T. Williams, L. Williams)"
1946,"Abertillery (R. Cornwall, C. Toomer, S. Day, E. Jones)","Ystradgynlais (D. Lewis, G. Rees, M.D. Jones, E.G. Jones)"
1947,"Dafen (W.D. Ford, G. Morgan, P.D. Thomas, A. Thomas)","Fairoak (J. Camp, E.E. Jones, H. Bethel, J. Manning)"
1948,"Brynhyfryd Neath (I. John, K. Rees, W. Powell, E. Rees)","Cyfarthfa Castle (J.H. Hayward, O. Thomas H. Price, J. Williams)"
1949,"Victoria Park (T. Griffiths, C. Vokes, B. Kingston, C.W.J. Watts)","Gilfach Bargoed (J. Opel, R.V. Collins, I. Miles, D.J. Amwel Jones)"
1950,"Newport Athletic (H. Ravalde, H.T. Ewings, A. Kirk, C. Standfast)","Llandeilo (T.H. Rogers, W.M. Parsons, E.D. Thomas, D.J. Rees)"
1951,"Cardiff (I. Davies, J. Budd, T. King, F.L. Cottie)","Talgarth (L. Pugh, R. Martin, R.W.E. Davies, D.L. Williams)"
1952,"Merthyr West End (T.J. Bord, D.W. Davies, O. Thomas, H. Maylott)","Llandeilo (E.R. Ellis, E.D. Thomas, W. Parsons, D.J. Rees)"
1953,"Penygraig Belle Vue (R. Williams, D. Morgan, W.B.Williams, T.R. Williams)","Port Talbot Municipal (E. Dummer, E. Jones, J.A. Griffiths, L. Hill)"
1954,"Newbridge (A.H. Pearce, W. Preece, H. Edwards, W. McCombie)","Parc Wern Swansea (W. Read, F. Taylor, C. Dowdle, G. John)"
1955,"Melyn United (J.R. Davies, J. Baker, K. Rees, A. Rees)","Pontymister Welfare (I. Jones, B. Jones, I.T. Griffin, A.B. Williams)"
1956,"Gelli Park (J.M. Evans, M. Jenkins, M. Coleman, D.G. Coleman)","Barry Athletic (R. Thomas, R. Evans, I. Thomas, T. Yeoman)"
1957,"Port Talbot Municipal (D. Prosser, E. Jones, J.A. Griffiths, L. Hill)","Cadoxton (P. Evans, A. Butcher, W. Archer, D. Ashton)"
1958,"Victoria Swansea (F. Bishop, W.G. John, F.L. Taylor, S.J. Perman)","Barry Athletic (R. Evans, R. Thomas, J. Thomas, L. Andrews)"
1959,"Llandaff Fields (A. James, T.H. Griffiths, K. Rowlands, T. Rowlands)","Gelli Park (G. Evans, M. Jenkins, D.J. Mantle, J.M. Evans)"
1960,"Abergavenny (C. Stephens, Lynn Probert, T. Griffiths, A.E. Evans)","Penygraig Belle Vue (G. John, J. Howells, D. Howells, V. Lowrie)"
1961,"Gelli Park (G. Evans, M. Jenkins, D.J. Mantle, J.M. Evans)","Penarth (R. Mead, G. Thomas, E. Mead, L. Lloyd)"
1962,"Port Talbot Municipal (E. Jones, L. Hill, D. Prosser, L. Hill)","Cwmbran (L. Brinkworth, W. Hughes, C. Roberts, R. Jones)"
1963,"Barry Athletic (R. Evans, J. Morgan, R. Thomas, Gareth Humphreys)","Penygraig Belle Vue (E. James, Ll. Williams, D. Morgans, T.R. Williams)"
1964,"Brecon (R.J. Hudman, D. Musto, F.L. Williams, C.L. Jones)","Ebbw Vale (Harold Alsop, F.G. Graddon, W. Muislade, T. Jones)"
1965,"Rhiwbina (T. Roberts, W.D. Jones, R. Bending, Jock Thompson)","Troedyrhiw (B. Lewis, S. Peters, D.G. James, H. Richards)"
1966,"Llansawel (E. Colwill, G. Tallamy, D. Reynolds, G.Cox)","Llanbradach (S. Thomas, R. Tudor, T. Tovey, E. John)"
1967,"Penclawdd (G. Howells, E.J. Davies, D. Palmer, Leighton Jenkins)","Cardiff Athletic (M. Gilmore, P.E. Ridd, B. Hawkins, W. Dacey)"
1968,"Caerphilly (F. Jones, E. Petty, F. Pipe, H. Baynton)","Troedyrhiw (B. Broad, G. Jones, W. Richards, H. Richards)"
1969,"Barry Athletic (J.R. Evans, J.A. Morgan, R. Thomas, Gareth Humphreys)","Milford Haven (J. John, R. Clarke, R. Thomas, R. Yolland)"
1970,"Llandrindod (W. Richards, E.Spooner, J. Palmer, Brian Maund)","Thomastown (W. Morgan, H. Mackinney, E. Williams, R. Jones)"
1971,"Brynhyfryd Carms (C. Rees, Edward Oliver, Hugh Andrews, David Richards)","Splott (H. Rowe, D.Mulford, S. Colston, V. Harris)"
1972,"Brynhyfryd Carms (O. Rees, Edward Oliver, J. Thomas, David Richards)","Rhiwbina (L. Hughes, E. Williams, P. Evans, Jock Thompson)"
1973,"Ammanford (Danny Price, P. Williams, R. John, G. Morris)","ICI Pontypool (N. Powell, A. Powell, R. Wood, V. Matthews)"
1974,"Llanbradach (A. Young, Ellis Stanbury, A. Marshall, R. Young)","Troedyrhiw (B. Broad, G. Jones, G. Jomes, W. Richards)"
1975,"Bryn Road Swansea (R.A. Jones, R.J. Keeble, R. Williams, V.J. Porter)","Barry Athletic (L. O'Keele, C. James, Len Webley, J.R. Evans)"
1976,"Barry Athletic (G. Storey, W.J. Webber, D.K. Williams, G. Humphries)","Penylan (C. Stephenson, J. Calnan, G. James, J. Davies)"
1977,"Tonypandy (J. Dally, G.E. Evans, G. Wiltshire, D.J. Evans)","Swansea Vale (T. Evans, J. Lobb, M. Jenkins, G. Pierce)"
1978,"Aberystwyth (A. Jones, G. Evans, A. Galbraith, E. Evans)","Abergavenny Ave (D. Whistance, K. Boddy, R. Poynter, V. Heritage)"
1979,"Troedyrhiw (P. Fulilove, B. Lewis, C. Strange, R. Morgan)","Cwmbran (A. Cooper, E.A. John, J.T. Thompson, B. Relland)"
1980,"Dinas Powis (H. Meddins, G. Bishop, A.R. Dibble, Len Webley)","Pontrhydyfen (B. Davies, J. Britton, D. Wilkins, H. Mizen)"
1981,"Abertridwr (W. Plumley, C. Folkes, W.H. Thomas, W.E. Pugh)","Barry Athletic (B. Pycroft, R. Cowling, P. Austerberry, J.R. Evans)"
1982,"Abertridwr (G. Griffiths, G. Hopkins, P. Morgan, T. Mounty)","Brynhyfryd Carms (B. Kingdon, N. Bevan, R. Hart, C. Rees)"
1983,"Caldicot (R. Bryant, D. Pritchard, K. Nash, J. Haddock)","Penygraig (R. Mills, D. Robins, K. Dee, W. Parker)"
1984,"Presteigne (B. Weale, D. Weale, W. Weale, Robert Weale)","Barry Plastics (M. Morgan, H. Hawkins, L. Durham, E. Roberts)"
1985,"Cardiff Athletic (M. Gilmore, B. Hazell, G. Hazell, R. Pullen)","Bridgend (D. Thomas, G. Proce, I. Davies, W. Thomas)"
1986,"Neath Town (A. Matthews, J. Matthews, W. Matthews, R. Matthews)","Penarth Belle Vue (S. Marsh, R. Janes, J. Elliot, A. Mathias)"
1987,"Aberystwyth (G. Ellis, G. Griffith, R. Morgan, D. Pugh)","Brecon (R. Ahrens, E. Phillips, K. Davies, L.H.E. Thomas)"
1988,"Abergavenny (J. Evans, G. Hill, J. Anstey, M. Anstey)","Brecon (R. Ahrens, M. Padmore, K. Davies, L.H.E. Thomas)"
1989,"Abergavenny (G. Hill, J. Evans, J. Anstey, M. Anstey)","Cam Gears (E. Edwards, G. Herbert, P. Rees, W. Thomas)"
1990,"Abertridwr (G. Hopkins, G. Griffiths, G. Roberts, T. Mounty)","Tonypandy (Thomas, M. Young, V. Dimond, L. Perkins)"
1991,"Abertridwr (R. Hopkins, J. Power, H. Green, J. Dacey)","Brynmawr (S. Harris, A. Lewis, R. Hapgood, A. Williams)"
1992,"Presteigne (B. Weale, S.Weale, David Weale, Robert Weale)","Lampeter (T. Edwards, I. Watkin, D. Evans, J. Edwards)"
1993,"Pontrhydyfen (J. Britton, G. Rosser, J. Britton, H. Mizen)","Brynmawr (P. Carey, A. Rigby, E. George, R. Price)"
1994,"Cardigan (L. Culley, T. Thomas, J. Goodwin, R.D. Bowen)","Penhill (E. Edwards, J. Bullock, M. Letman, K. Rowlands)"
1995,"Haverfordwest (P. John, P. Howells, R. Fairhurst, G. Jones)","Brynhyfryd Carms (J. Forey, W. Killa, M. Watts, M. Bishop)"
1996,"Presteigne (B. Weale, S. Weale, David Weale, Robert Weale)","Brynhyfryd Carms (P. Jenkins, A. Evans, M. Skinner, A. Evans)"
1997,"Ely Village (C. Ashman, R. James, A. Western, P. Robins)","Machynlleth (N. Fleming, B. Fleming, A. Fleming, R. Rowlands)"
1998,"Brynhyfryd Carms (W. Rees, S. Evans, M. Watts, M. Bishop)","Ystradfechan (D. Morgan, M. Davies, C. Price, J. Pearce)"
1999,"Tenby (P. Day, P. Diment, A. Muskett, P. Currie)","Brynhyfryd Carms (W. Rees, S. Evans, M. Watts, M. Bishop)"
2000,"Ferndale (R. Evans, M. Harris, G. Hughes, P. Jones)","Brynhyfryd Carms (W. Rees, H. Johns, M. Watts, M. Bishop)"
2001,"Presteigne (B. Weale, S. Weale, D. Weale, Robert Weale)","Ely Village (M. Harrison, A. Applegate, J. Applegate, M. Prosser)"
2002,"Penylan (R. Wall, B. Rich, D. Axon, D. Harding)","Ferndale (R. Evans, M. Harris, P. Jones, G. Hughes)"
2003,"Presteigne (B. Weale, S. Weale, D. Weale, Robert Weale)","Welshpool (C. Williams, P. A. Lewis, D. Gough, W. Griffiths)"
2004,"Presteigne (B. Weale, S. Weale, D. Weale, Robert Weale)","Bridgend (H. Jenkins, K. Frankton, A. Hunter, J. Hoskins)"
2005,"Ferndale (Mark Jones, Martin Jones, L. Morgans, A Hughes)","Gelli Park (L. Kirby, D Pritchard, M. Evans, Spencer Wilshire)"
