0,1,2,3,4
School,Jrs,Srs,All,Last Seniors C'ship
San Beda,17,11,28,1978-79
Letran,10,16,26,2005-06
Mapua,19,5,24,1991-92
Ateneo*,6,14,20,1976-77
San Sebastian,2,11,13,2002-03
La Salle*,5¹,6,11,1974-75
JRU,7,4²,11,1972-73
UP*,4,3,7,1929-30
UST*,1,1,2,1930-31
PCU,0,1,1,2004-05
St. Benilde,0,1,1,2000-01
Trinity*,1,0,1,never
