0,1,2,3
Date,Show,Author,Production
08/28/1915,The Yellow Ticket,Michael Morton,A. H. Woods
09/06/1915,On Trial,Elmer L. Rice,Cohan & Harris
09/13/1915,Twin Beds,Salisbury Field and Margaret Mayo,"William H. Harris, Jr."
09/20/1915,It Pays to Advertise,Roi Cooper Megrue and Walter Hackett,Cohan & Harris
10/25/1915,High Jinks,Otto Hauerbach,Arthur Hammerstein
11/22/1915,Cousin Lucy (Two Weeks),Charles Klein,A. H. Woods
12/07/1915,The Hawk,Francis De Croisset,
12/18/1915,The Birth of a Nation,D. W. Griffith,D. W. Griffith
02/14/1916,The Girl Who Smiles,Paul Hervé & Jean Briquet,
04/17/1916,Potash and Perlmutter in Society,Montague Glass,A. H. Woods
04/24/1916,The Lie,Margaret Illington,
05/01/1916,The House of Glass,Max Marcin,Cohan & Harris
05/08/1916,Carmen & The Tales of Hoffman (3 weeks),Bizet & Offenbach,The Aborn Opera Company
