0,1,2,3
Home Team,Score,Away Team,Date
Aston Villa,1–0,Barnsley,26 September 1990
Bournemouth,0–0,Millwall,25 September 1990
Cardiff City,1–1,Portsmouth,25 September 1990
Carlisle United,1–1,Derby County,25 September 1990
Charlton Athletic,2–2,Leyton Orient,26 September 1990
Chester City,0–1,Arsenal,25 September 1990
Coventry City,4–2,Bolton Wanderers,26 September 1990
Crystal Palace,8–0,Southend United,25 September 1990
Darlington,3–0,Swindon Town,25 September 1990
Halifax Town,1–3,Manchester United,26 September 1990
Hull City,0–0,Wolverhampton Wanderers,25 September 1990
Leicester City,1–0,Leeds United,26 September 1990
Liverpool,5–1,Crewe Alexandra,25 September 1990
Luton Town,1–1,Bradford City,25 September 1990
Middlesbrough,2–0,Newcastle United,25 September 1990
Northampton,0–1,Sheffield United,25 September 1990
Norwich City,2–0,Watford,26 September 1990
Nottingham Forest,4–1,Burnley,26 September 1990
Notts County,1–0,Oldham Athletic,25 September 1990
Plymouth Argyle,1–0,Wimbledon,25 September 1990
Port Vale,0–2,Oxford United,24 September 1990
Queens Park Rangers,3–1,Peterborough United,26 September 1990
Rochdale,0–5,Southampton,25 September 1990
Rotherham United,1–1,Blackburn Rovers,25 September 1990
Sheffield Wednesday,2–1,Brentford,26 September 1990
Shrewsbury Town,1–1,Ipswich Town,25 September 1990
Sunderland,0–1,Bristol City,25 September 1990
Torquay United,0–4,Manchester City,26 September 1990
Tottenham Hotspur,5–0,Hartlepool United,26 September 1990
Walsall,0–5,Chelsea,26 September 1990
West Ham United,3–0,Stoke City,26 September 1990
Wrexham,0–5,Everton,25 September 1990
