"(1, 1)","(2, 2)","(3, 3)"
{{flagicon|UKR}} Ruslan Kisil,Illichivets Mariupol,12
{{flagicon|UKR}} Oleksandr Filippov,Desna Chernihiv,7
{{flagicon|UKR}} Aderinsola Habib Eseola,Arsenal Kyiv,5
{{flagicon|UKR}} Maksym Marusych,Hirnyk-Sport Horishni Plavni,5 (3)
{{flagicon|UKR}} Denys Kozhanov,Illichivets Mariupol,4
{{flagicon|UKR}} Vyachyslav Ryabov,Kolos Kovalivka,4
{{flagicon|UKR}} Ihor Sikorskyi,Veres Rivne,4
{{flagicon|UKR}} Levan Arveladze,Naftovyk-Ukrnafta Okhtyrka,4 (2)
