"(0, 0)","(2, 2)","(3, 3)","(4, 4)","(5, 5)"
2,8,11,8,27
3,2,0,5,7
4,2,0,1,3
5,1,4,1,6
6,1,3,1,5
7,1,2,0,3
8,1,1,7,9
9,1,0,2,3
10,0,2,5,7
11,0,2,1,3
12,0,1,1,2
13,0,1,0,1
14,0,0,3,3
15,0,0,2,2
16,0,0,1,1
Total,44,44,44,132
