"(7, 25)","(9, 23)","(10, 10)","(12, 12)","(21, 9)","(24, 24)"
1–1,2–0,0–2,2–0,0–2,1–1
1–1,2–0,1–1,1–1,1–1,1–1
1–1,1–1,0–2,1–1,1–1,0–2
1–1,2–0,1–1,2–0,1–1,2–0
0–2,1–1,0–2,2–0,0–2,0–2
1–1,1–1,0–2,2–0,0–2,0–2
2–0,2–0,2–0,2–0,1–1,1–1
1–1,1–1,0–2,1–1,0–2,0–2
