"(1, 1)","(2, 2)","(3, 3)","(4, 4)","(5, 5)","(6, 6)","(7, 7)","(9, 9)","(10, 10)","(11, 11)","(12, 12)"
Team,Batting Position,Matches,Innings,Not Out,Runs,Highest Score,100s,50s,Ct,St
{{Cr|AUS}},Right-Hand Lower Order Batsman,4,6,4,116,41,,,3,
{{Cr|AUS}},Right-Hand Opening Batsman,2,4,,186,72,,1,1,
{{Cr|AUS}},Left-Hand Top Order Batsman,5,9,1,354,162,1,1,3,
{{Cr|ENG}},Right-Hand Top Order Batsman,2,3,,132,111,1,,4,
{{Cr|ENG}},Right-Hand Top Order Batsman,5,9,,351,104,1,2,6,
{{Cr|ENG}},Right-Hand Top Order Batsman,4,7,2,191,84,,1,,
{{Cr|ENG}},Right-Hand Lower Order Batsman,5,9,1,296,88,,2,2,
{{Cr|ENG}},Right-Hand Middle Order Batsman,5,9,,319,102,1,2,4,
{{Cr|AUS}},Right-Hand Top Order Batsman,1,2,1,35,18*,,,1,
{{Cr|AUS}},Left-Hand Opening Batsman,4,7,,223,153,1,,,
{{Cr|AUS}},Right-Hand Middle Order Batsman,3,5,,150,69,,1,7,
{{Cr|AUS}},Right-Hand Middle Order Batsman,4,6,2,106,64*,,1,2,
{{Cr|ENG}},Right-Hand Opening Batsman,5,9,,220,80,,1,2,
{{Cr|AUS}},Right-Hand Middle Order Batsman,4,7,,167,49,,,1,
{{Cr|ENG}},Right-Hand Top Order Batsman,4,8,,180,88,,1,3,
{{Cr|ENG}},Right-Hand Lower Order Batsman,4,5,3,44,19*,,,1,
{{Cr|ENG}},Left-Hand Lower Order Batsman,4,6,1,109,38,,,1,
{{Cr|AUS}},Right-Hand Top Order Batsman,2,4,,81,44,,,2,
{{Cr|AUS}},Right-Hand Opening Batsman,4,7,,130,30,,,2,
{{Cr|ENG}},Right-Hand Middle Order Batsman,4,7,1,102,37,,,13,
{{Cr|AUS}},Right-Hand Top Order Batsman,3,5,,85,57,,1,3,
{{Cr|AUS}},Right-Hand Middle Order Batsman,4,7,,117,49,,,4,
{{Cr|AUS}},Right-Hand Middle Order Batsman,5,9,,148,34,,,3,
{{Cr|AUS}},Left-Hand Middle Order Batsman,3,5,,71,23,,,5,
{{Cr|ENG}},Left-Hand Lower Order Batsman,5,7,1,67,25,,,1,
{{Cr|ENG}},Right-Hand Lower Order Batsman,5,7,1,66,37*,,,2,
{{Cr|AUS}},Right-Hand Opening Batsman,1,2,,21,18,,,,
{{Cr|AUS}},Right-Hand Lower Order Batsman,2,3,,21,16,,,9,
{{Cr|AUS}},Right-Hand Lower Order Batsman,4,6,2,25,11,,,1,
{{Cr|ENG}},Right-Hand Lower Order Batsman,1,2,,11,6,,,,
{{Cr|ENG}},Right-Hand Opening Batsman,1,2,,11,9,,,,
{{Cr|ENG}},Right-Hand Lower Order Batsman,1,2,,10,5,,,1,
