"(0, 0)","(1, 1)"
1998,Dombås
1999,Dombås
2000,Fet
2002,Hønefoss
2003,Sirdal
2004,Folldal
2005,Fet
2006,Birkenes
2007,Geilo
2008,Natrudstilen
2009,Vik
2010,Sirdal
2011,Meråker
2012,Oslo Holmenkollen
2013,Mo i Rana
2014,Steinkjer
2015,Os
