"(0, 0)","(1, 1)","(2, 2)","(4, 4)"
{{flagicon|GER}} Kristina Barrois,30 September 1981,57/55,—
{{flagicon|AUS}} Bojana Bobusic,2 October 1987,222/187,ongoing foot problems
{{flagicon|ESP}} Eva Fernández Brugués,5 May 1986,185/336,—
{{flagicon|AUS}} Azra Hadzic,26 November 1994,301/512,—
{{flagicon|AUS}} Sacha Jones,8 November 1990,150/169,career change
{{flagicon|SRB}} Karolina Jovanović,13 February 1988,404/201,—
{{flagicon|FRA}} Anaïs Laurendon,15 April 1985,180/246,—
{{flagicon|CRO}} Ani Mijačika,15 June 1987,193/222,—
{{flagicon|POR}} Frederica Piedade,5 June 1982,142/158,—
{{flagicon|SUI}} Amra Sadiković,6 May 1989,179/148,—
