"(1, 1)","(2, 2)","(3, 3)"
A1 Ethniki,9th,
A1 Ethniki,7th,
A1 Ethniki,11th,Relegated to A2
A2 Ethniki,1st,Promoted to A1
A1 Ethniki,4th,Finalist Greek Cup
A1 Ethniki,3rd,
