"(1, 1)","(2, 2)","(3, 3)","(4, 4)","(5, 5)","(6, 6)","(7, 7)","(8, 8)"
60,23,37,0,262,315,46,5th Overall
60,31,28,1,303,278,63,4th Overall
60,42,16,2,339,231,86,1st South
60,49,9,2,363,203,100,1st South
60,30,29,1,313,307,61,3rd South
60,24,33,3,277,308,51,3rd South
60,36,24,0,315,270,72,2nd South
52,27,25,0,235,221,54,3rd South
60,28,30,2,282,284,58,3rd South
60,19,38,3,262,367,41,4th South
60,34,24,2,281,232,70,4th South
60,22,36,2,297,320,46,3rd South
