"(2, 2)","(3, 3)","(4, 4)","(5, 5)"
"Carson, United States",{{fbu|23|Trinidad and Tobago}},1–7,2012 CONCACAF Men's Olympic Qualifying Tournament
"Carson, United States",{{fbu|23|Honduras}},3-0,2012 CONCACAF Men's Olympic Qualifying Tournament
"Livestrong Sporting Park, Kansas City, United States",{{fb|CAN}},3–1,2012 CONCACAF Men's Olympic Qualifying Tournament
"Livestrong Sporting Park, Kansas City, United States",{{fb|HON}},2–1,2012 CONCACAF Men's Olympic Qualifying Tournament
"Aubagne, France",{{fbu|23|Morocco}},4–3,2012 Toulon Tournament
"Nice, France",{{fbu|20|France}},3–1,2012 Toulon Tournament
"Le Lavandou, France",{{fbu|23|Belarus}},1–2,2012 Toulon Tournament
"Avignon, France",{{fbu|21|Netherlands}},4–2,2012 Toulon Tournament
